url_path,views_total,views_unique
/SAP/e-mobility-charging-stations-simulator,208,107
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/web/README.md,29,17
/SAP/e-mobility-charging-stations-simulator/blob/main/README.md,22,10
/SAP/e-mobility-charging-stations-simulator/issues,18,9
/sap/e-mobility-charging-stations-simulator,17,16
/SAP/e-mobility-charging-stations-simulator/tree/main,16,6
/SAP/e-mobility-charging-stations-simulator/blob/main/ui/cli/README.md,11,2
/SAP/e-mobility-charging-stations-simulator/releases/tag/ocpp-server@v4.11.0,8,8
/SAP/e-mobility-charging-stations-simulator/pulls,8,7
/SAP/e-mobility-charging-stations-simulator/releases,7,3
