time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,830,150,50,22
2026-04-27 00:00:00+00:00,2152,173,46,24
2026-04-28 00:00:00+00:00,3233,217,49,22
2026-04-29 00:00:00+00:00,4345,307,52,16
2026-04-30 00:00:00+00:00,7296,314,42,18
2026-05-01 00:00:00+00:00,1285,154,41,19
2026-05-02 00:00:00+00:00,1999,261,26,21
2026-05-03 00:00:00+00:00,948,96,28,23
2026-05-04 00:00:00+00:00,464,66,30,24
2026-05-05 00:00:00+00:00,474,59,36,13
2026-05-06 00:00:00+00:00,4314,234,50,24
2026-05-07 00:00:00+00:00,10324,503,44,25
2026-05-08 00:00:00+00:00,4848,406,46,21
2026-05-09 00:00:00+00:00,1987,160,40,21
2026-05-10 00:00:00+00:00,745,53,19,14
2026-05-11 00:00:00+00:00,4971,335,31,18
2026-05-12 00:00:00+00:00,1018,83,18,17
2026-05-13 00:00:00+00:00,1138,96,35,17
2026-05-14 00:00:00+00:00,1020,90,31,13
2026-05-15 00:00:00+00:00,1052,98,17,10
2026-05-16 00:00:00+00:00,632,36,3,3
2026-05-17 00:00:00+00:00,2504,213,31,11
2026-05-18 00:00:00+00:00,1174,110,62,19
2026-05-19 00:00:00+00:00,733,71,28,16
2026-05-20 00:00:00+00:00,845,86,23,21
2026-05-21 00:00:00+00:00,366,56,19,10
2026-05-22 00:00:00+00:00,1152,118,28,10
2026-05-23 00:00:00+00:00,924,93,7,5
2026-05-24 00:00:00+00:00,627,47,8,8
2026-05-25 00:00:00+00:00,647,90,17,12
2026-05-26 00:00:00+00:00,1241,128,49,19
2026-05-27 00:00:00+00:00,2061,175,32,17
2026-05-28 00:00:00+00:00,1317,112,47,19
2026-05-29 00:00:00+00:00,844,110,41,17
2026-05-30 00:00:00+00:00,171,40,36,10
2026-05-31 00:00:00+00:00,636,67,18,11
2026-06-01 00:00:00+00:00,735,91,35,15
2026-06-02 00:00:00+00:00,1573,140,36,14
2026-06-03 00:00:00+00:00,463,61,27,14
2026-06-04 00:00:00+00:00,1000,75,39,16
2026-06-05 00:00:00+00:00,89,47,19,11
2026-06-06 00:00:00+00:00,673,75,13,9
2026-06-07 00:00:00+00:00,1446,112,14,7
2026-06-08 00:00:00+00:00,1403,128,21,16
2026-06-09 00:00:00+00:00,788,86,24,14
2026-06-10 00:00:00+00:00,470,76,26,17
2026-06-11 00:00:00+00:00,529,73,27,14
2026-06-12 00:00:00+00:00,919,82,47,18
2026-06-13 00:00:00+00:00,2227,162,6,5
2026-06-14 00:00:00+00:00,5377,316,13,6
