Specific Component;Variable;Instance;Required?;DataType;Unit;Description
<generic>;ACCurrent;;no;decimal;A;RMS AC Current (in amperes). For 3-phase circuits, each phase (and optional neutral) is represented by a Variable instance equal to a value of the PhaseEnumType (e.g. L1,N). Unkeyed values reported for a Component declared to be multi-phase are assumed to be an average of all per-phase readings and written values are common per-phase settings. Example(s): ChargingStation: Total AC current consumption (all EVSE’s, ancillaries), EVSE: Total current consumed by EVSE: includes losses (AC->DC) and EVSE specific ancillaries (e.g. fans), ElectricalFeed: Inflow AC current on feed
<generic>;Active;;no;boolean;;Component is in its non-resting / active state: e.g: On, Engaged, Locked. Some Components may have secondary functions that have corresponding Active Variables with an explicit Variable instance., Note: Monitoring of changes in the Active state of any Component can be specified by setting Delta monitoring on the boolean value with a delta values of 1. Setting/clearing an Active Variable activates/stops the associated functionality, where remotely controllable. Only components that are Available and Enabled can be in the Active state.
<generic>;ACVoltage;;no;decimal;V;RMS AC Voltage (in volts). For 3-phase circuits, each phase (and optional neutral) is represented by a Variable instance equal to a value of the PhaseEnumType (e.g. L1,N). Unkeyed values reported for a Component declared to be multi-phase are assumed to be an average ofall per-phase readings and written values are common per-phase settings. Example(s): ElectricalFeed: Input Voltage
<generic>;AllowReset;;no;boolean;;Component can be reset.
<generic>;Angle;;no;decimal;Deg;Angle(s) relative to normal/design idle position. Multiple Variable instance values may be used to indicate angular position in multiple axes (e.g. Left-Right, Forward-Back).
<generic>;Attempts;;no;integer;;Number of attempts (INCLUDING the original attempt) in the last successful or attempted, cycle of operation. Applies typically to self-monitoring motorized electro-mechanical equipment, etc. {Null}: Unknown, 0: Not Attempted/Not allowed, 1: Single attempt/No retries [allowed], 2-N: [up to] N tries [allowed]
<generic>;Available;;no;boolean;;The Component exists and is locally configured/wired for use, but might not be (remotely) Enabled.
<generic>;Certificate;;no;string;;Digital Certificate (in Base64 encoding)
<generic>;Color;;no;string;;Standard 24 bit hexadecimal RGB values. Reg Green Blue color intensity, expressed as standard 24 bit hexadecimal RGB values: 3  00-FF (0-255), in order RRGGBB). E.g. 000000: Black, FF0000: Red, 00FF00: Green, 0000FF: Blue, FFFF00:Yellow, FFFFFF: White, 008000: Medium intensity green.
<generic>;Complete;;no;boolean;;Component operation cycle has completed. Used only in event notifications, where it is always true.
<generic>;ConnectedTime;;no;decimal;s;Time since logical connection established
<generic>;Count;;no;integer;;General purpose integer count variable for Component state reporting
<generic>;CurrentImbalance;;no;decimal;Percent;Percentage current imbalance in an AC three phase supply.
<generic>;DataText;;no;string;;Text associated with a Component, e.g. a Display.
<generic>;DateTime;;no;dateTime;;Point in time value, in [RFC3339] datetime format. Time zone optional.
<generic>;DCCurrent;;no;decimal;A;DC Current (in amperes). May be an instantaneous measurement, or a period average, depending on context/equipment.
<generic>;DCVoltage;;no;decimal;V;DC Voltage (volts). May be an instantaneous measurement, or a period average, depending on context/equipment.
<generic>;ECVariant;;no;string;;Production series variants reflecting internal design changes or sub-component substitutions not affecting external functionality.
